text,created_at
2016 Budget: #Senate expresses shock over release of only N74m for job creation https://t.co/veqglsf12U #nigeria,2016-11-08 06:07:07
"#Senate Feingold, Johnson in Oshkosh on final full day of campaign https://t.co/X9wc4jpD4R @SenRonJohnson",2016-11-08 06:08:06
#Senate Ron Johnson's Final Push With Voters Could Lead To A GOP Win In Wisconsin https://t.co/b1rEXY6H4U @SenRonJohnson,2016-11-08 06:08:07
"#Senate Feingold, Johnson in Oshkosh on final full day of campaign https://t.co/SFalmNUh6A SenRonJohnson NTA•NEWS",2016-11-08 06:11:09
#Senate Ron Johnson's Final Push With Voters Could Lead To A GOP Win In Wisconsin https://t.co/lIgcYuDqjr SenRonJohnson NTA•NEWS,2016-11-08 06:11:10
"Agree, the after effect may humble GOP even more if @TheDemocrats can take the #Senate . #Hillary has shown she can… https://t.co/tC7qgoFkmV",2016-11-08 06:13:34
"#Senate McCain, Kirkpatrick make final push for support for Senate https://t.co/Ys7b5GDJ20 @SenJohnMcCain",2016-11-08 06:15:03
"#Senate McCain disappointed over Defense Department, Lockheed Martin talks over jet fighter contract https://t.co/YT8dmkkS1L @SenJohnMcCain",2016-11-08 06:15:03
#Australian #Senate #rejects #public #vote on #gay #marriage https://t.co/snQGDwR2Iw,2016-11-08 06:23:23
"That thing where the anchor asks you what #Senate races to watch and you confidently say ""#IDAHO"" and you meant… https://t.co/rmgCnjFah4",2016-11-08 06:24:00
#Australian #Senate #rejects #public #vote on #gay #marriage https://t.co/uJGt2xgi9V,2016-11-08 06:24:11
#Australia #senate stops #gay #marriage vote - https://t.co/OkzNXekK0B,2016-11-08 06:30:04
"#Senate McCain, Kirkpatrick make final push for support for Senate https://t.co/G0FAS4Hb4n SenJohnMcCain NTA•NEWS",2016-11-08 06:31:23
"#Senate McCain disappointed over Defense Department, Lockheed Martin talks over jet fighter contract https://t.co/s2JIGqrhg4 SenJohnMcCain…",2016-11-08 06:31:23
"#Alaska #Voters decide US #Senate, #House, legislative: https://t.co/vALhr5FkfM, https://t.co/Qw2lZZHD96 https://t.co/2wuNJL82q5",2016-11-08 06:35:13
Most definitely https://t.co/OJ2J920P5j,2016-11-08 06:37:20
POLITICO says Democrats are on the BRINK OF TAKING BACK THE SENATE! Let's make it happen.! #VoteBLUE!! #HILLARY #SENATE #HOUSE #STATE #LOCAL,2016-11-08 06:42:41
US POLITICS &amp; POLICIES is out! https://t.co/sgbPvdpqsh #usa Stories via @LBTY_blog @AlexiMostrous @capitolreport #election2016 #senate,2016-11-08 06:43:37
"#Senate Sessions stumps for Trump, rises on national stage https://t.co/OdUbHznJzP @SenatorSessions",2016-11-08 07:23:07
#Senate Franken hits the road for Clinton in Minnesota https://t.co/6EVOXVxstw @AlFranken,2016-11-08 07:30:08
"#Senate Sessions stumps for Trump, rises on national stage https://t.co/ddUR3K4Pvw SenatorSessions NTA•NEWS",2016-11-08 07:31:08
#Senate Franken hits the road for Clinton in Minnesota https://t.co/IXFL88szav AlFranken NTA•NEWS,2016-11-08 07:31:09
"#Election2016 - #Senate
Battle for Control of the Senate: Nine Races to Watch
https://t.co/HvNtyMX6QI
@LifeZette #tcot #PJNET",2016-11-08 07:32:04
"Vote @KathyforMD TODAY, #MARYLAND!!!
#MDsen 
#tcot #ccot #sgp https://t.co/hIryvprElo",2016-11-08 07:37:05
#Senate Sen. Debbie Stabenow fires up GVSU crowd of 4600 for Clinton https://t.co/4WqryNgSR1 @SenStabenow,2016-11-08 07:38:07
#Senate Kaine campaigns with Biden at GMU before closing with Richmond rally https://t.co/AmeRbf2MKr @TimKaine,2016-11-08 07:38:07
#Senate Sen. Debbie Stabenow fires up GVSU crowd of 4600 for Clinton https://t.co/RbLCjswX8h SenStabenow NTA•NEWS,2016-11-08 07:41:10
#Senate Kaine campaigns with Biden at GMU before closing with Richmond rally https://t.co/w8aqQ9N1HS TimKaine NTA•NEWS,2016-11-08 07:41:11
Good luck 2 the 191 #lgbt candidates up for election 2 the #US #Senate &amp; #US House and other offices  today #USElections2016 @LGBTconstruct,2016-11-08 07:41:22
Yurgle 😜 https://t.co/v5zkH4fvhu,2016-11-08 07:43:25
"@realDonaldTrump FRAUD, FRAUD, FRAUD, ELECTIONS ARE RIGGED!!! https://t.co/A9UMbUYJv8 #FBI #sputnik #AFP #NYT #MAGA… https://t.co/ktymjGmVwx",2016-11-08 07:49:47
The latest Bostonred Times! https://t.co/4WdoXGHys7 Thanks to @RepMcGovern @vlramirez12 @ProgressMO #senate #election2016,2016-11-08 07:52:40
#ImVotingBecause I care about donuts. https://t.co/HUCSEQtG9o #ADHDvotes  #senate #congress,2016-11-08 07:54:03
"#WakeUpAmerica,#Trump2016,#Veterans,#Hialeah,#Miami,#MakeAmericaGreatAgain,#tcot,#MAGA,#SENATE,#NYT,#Cuba,#BREXIT,… https://t.co/yLnWLgrqfO",2016-11-08 07:55:15
"We should learn from the past and prepare for the future.

#TheUnofficialGazette #Bills #Laws #Senate... https://t.co/W0giKl4uPd",2016-11-08 08:00:03
https://t.co/gHVsYKHddP #1Corinthians1:27-31 #Bible #SCOTUS #Senate #Congress #ISLAM #College #Edu #Hillary #TRUMP https://t.co/Mxuqyt8SNs,2016-11-08 08:01:08
I've listened to each of @PaulineHansonOz's #senate contributions and they are ABSOLUTELY INCOHERENT. Fuck you Qld. #auspol #qldpol,2016-11-08 08:05:08
"Murkowski seeks to fend off crowded #Field in #Senate #Race: https://t.co/vALhr5FkfM, https://t.co/mPIee6riSv",2016-11-08 09:35:20
Last @FiveThirtyEight's #Forecast gives @GOP a 49.3% chance of keeping control of the #Senate https://t.co/5RZU8tzog2 #Election2016 #GOTV,2016-11-08 09:38:10
"News from Jim #Oberweis - For  US #Senate - #Illinois is out! Let's not regret our vote, fire Dick #Durbin https://t.co/nAdwkaJZ2l #teaparty",2016-11-08 09:55:29
Don't forget to go vote today!!!#Election2016 #Trump #Clinton #SupremeCourt #Obamacare #Taxes #House #Senate #DraintheSwamp,2016-11-08 10:02:28
#Senate Charles Schumer faces challenge from little-known lawyer https://t.co/GX6Rv9DHwD @SenSchumer,2016-11-08 10:19:11
